location,count
Brew've Been Served,296
Hallowed Grounds,172
Coffee Shack,17
Abila Zacharo,143
Hippokampos,326
Kalami Kafenion,130
Katerina’s Café,407
Ouzeri Elian,171
Frydos Autosupply n' More,89
Coffee Cameleon,75
Gelatogalore,124
Albert's Fine Clothing,50
Guy's Gyros,304
Shoppers' Delight,38
General Grocer,22
Kronos Mart,18
Octavio's Office Supplies,7
Bean There Done That,92
Brewed Awakenings,59
Jack's Magical Beans,72
Carlyle Chemical Inc.,38
Abila Airport,51
Kronos Pipe and Irrigation,12
Maximum Iron and Steel,12
U-Pump,3
Nationwide Refinery,47
Stewart and Sons Fabrication,35
Abila Scrapyard,8
Frank's Fuel,4
Chostus Hotel,17
Ahaggo Museum,12
Desafio Golf Course,16
Roberts and Sons,14
Daily Dealz,1
